"","W1GrssyrMP","W1GrssyrHH","W1wrk1aMP","W1condur5MP","W1hea2MP","W1NoldBroHS","W1InCarHH","W1hous12HH","W1usevcHH","W1hiqualmum","W1hiqualdad","W1wrkfulldad","W1wrkfullmum","W1empsmum","W1empsdad","W1ch0_2HH","W1ch3_11HH","W1ch12_15HH","W1ch16_17HH","IndSchool","W1marstatmum","W1depkids","W1famtyp2","W1nssecfam","W1ethgrpYP","W1heposs9YP","W1hwndayYP","W1truantYP","W1alceverYP","W1bulrc","W1disabYP","W1yschat1","W2ghq12scr","W2disc1YP","W2depressYP","W4AlcFreqYP","W4CannTryYP","W4NamesYP","W4RacismYP","W4empsYP","W4schatYP","W4Childck1YP","W5JobYP","W5EducYP","W5Apprent1YP","W6JobYP","W6UnivYP","W6EducYP","W6Apprent1YP","W6acqno","W6gcse","W6als","W6OwnchiDV","W6Childliv","W6DebtattYP","W6NEETAct","W8DDEGP","W8DGHQSC","W8DMARSTAT","W8TENURE","W8DACTIVITY","W8QMAFI","W8DINCW"
"3047",NA,NA,"1","1","2","1","1","2","1","4","13","1","1","1","1","0","1","1","0","0","2","2","0","2","1","1","3","2","1","1","3",41,0,"2","2",NA,"2","2","2","5",10,NA,"1","1","2","2","2","1","2","6","2","4","2",NA,11,NA,"1",2,"1","4","3","1",430.28
"3048",NA,NA,"1","1","2","0","1","2","1","20","13","1","2","2","1","0","0","1","0","0","2","1","0","6","1","2","3","2","1","1","3",41,0,"2","1","3","1","2","2","5",18,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,16,NA,"1",2,"1","1","3","1",320.19
"3049",NA,NA,"1","1","2","0","1","2","2","13","16","1","2","2","1","0","0","1","1","0","2","2","0","6","1","3","5","2","1","1","3",29,9,"2","4","1","2","2","1","5",15,NA,"1","1","2","1","2","2","2","9","4","4","2",NA,11,NA,"1",1,"2","1","13","1",334.01
"3050",NA,NA,"1","1","2","0","1","2","1","20","20","1","1","1","1","0","0","2","0","0","2","2","0","7","3","1","2","1","2","1","3",45,0,"2","2","6","1","2","2","5",18,NA,"1","2","2","1","2","2","2","9","4","4","2",NA,10,NA,"1",0,"1","1","1","1",251.74
"3051",NA,NA,"1","1","2","1","1","1","1","8","4","1","2","2","1","0","1","1","0","0","2","2","0","1","1","1","5","2","2","2","3",42,3,"2","1","5","2","2","2","5",13,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,16,NA,"1",1,"1","5","1","1",368.17
"3052",NA,NA,"1","1","2","1","1","2","1","2","7","2","1","1","2","0","0","2","0","1","2","2","0","2","1","1","2","1","1","1","3",27,0,"2","2","2","1","1","1","5",15,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,16,NA,"1",0,"1","5","1","1",301.76
"3053",NA,NA,"1","1","2","0","1","2","1","2",NA,NA,"1","1",NA,"0","0","1","0","1","5","1","1","2","1","1","5","2","1","1","3",31,5,"2","2","4","1","2","2","5",16,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,19,NA,"1",1,"1","2","1","1",338.33
"3054",NA,NA,"1","1","2","0","1","2","1","15","20","1","1","1","1","0","0","1","0","0","2","1","0","6","1","1","3","2","2","1","3",40,0,"2","2","6","2","2","2","5",16,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,11,NA,"1",2,"1","7","1","1",338.26
"3055",NA,NA,"1","1","1","0","1","7","1","1","1","1","1","1","1","0","0","1","0","0","2","1","0","1","1","1","4","2","1","1","3",34,0,"2","1","4","2","2","2","5",15,NA,"2","1","2","2","2","1","2","3","4","1","2",NA,15,NA,"1",1,"1","4","1","1",346.83
"3056",NA,NA,"4","1","2","0","1","2","1","9","2","1","2","2","1","0","0","2","0","0","2","2","0","1","1","1","5","2","1","1","3",37,3,"2","2","3","2","1","2","5",14,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,17,NA,"1",2,"1","2","1","1",393.31
"3057",NA,NA,"1","1","2","1","1","2","1","2","1","1","1","1","1","0","0","2","0","0","2","2","0","1","1","1","3","2","2","1","3",36,4,"2","3","2","1","1","2","5",11,NA,"1","1","2","1","1",NA,NA,"1","4","4","2",NA,18,NA,"1",4,"1","4","1","1",367.48
"3058",NA,NA,"1","1","2","1","1","2","1","15","9","1","1","1","1","0","1","1","0","0","3","2","0","5","1","1","3","2","2","1","3",34,0,"2","1","6","2","2","2","5",16,NA,"2","1","2","2","1",NA,NA,"1","4","4","2",NA,18,NA,"1",0,"1","4","1","1",364.89
"3059",NA,NA,"2","1","2","1","1","2","1","2","2","1","2","2","1","0","1","1","0","0","2","2","0","2","1","1","2","2","1","1","3",43,0,"2","2","3","2","2","2","5",14,NA,"1","1","2","2","1",NA,NA,"1","4","4","2",NA,14,NA,"1",0,"1","7","1","1",354.35
