W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6Childliv,W6DebtattYP,W8DGHQSC,W8DMARSTAT,W8TENURE,W8DACTIVITY,W8QDEB2
-999,1,1,1,1,1,2,1,9,7,1,1,1,1,0,2,2,0,2,1,1,3,2,1,1,3,38,11,2,4,1,1,-1,2,5,13,-91,2,2,2,2,1,-91,-91,1,4,4,2,-91,17,6,1,7,1,4500
-999,2,1,2,2,1,5,1,2,5,2,1,1,2,0,2,3,0,2,1,2,4,2,1,1,3,42,1,2,2,5,1,2,2,5,20,-91,1,1,2,1,2,2,2,9,4,4,2,-91,13,1,1,4,1,4666
-999,1,1,1,1,1,1,1,15,-98,-98,1,1,-98,0,4,3,1,4,3,1,4,2,2,1,3,39,2,2,3,-91,2,2,2,5,18,-91,2,1,2,2,1,-91,-91,2,4,4,2,-91,10,0,2,2,1,4700
-999,1,1,2,2,1,1,1,8,15,1,1,1,1,1,2,4,0,4,1,2,5,2,1,2,3,44,0,2,1,6,2,2,2,5,15,-91,2,1,2,1,2,2,2,9,4,4,2,-91,10,1,1,4,1,5000
-999,1,1,1,1,4,6,1,15,19,1,1,1,1,0,2,3,0,4,1,3,4,2,1,2,2,44,3,2,2,3,2,2,2,5,16,-91,1,2,2,1,2,2,2,9,4,4,2,-91,12,0,2,4,1,5000
-999,1,1,2,2,1,2,1,20,14,1,1,1,1,0,2,3,0,5,1,3,3,2,1,2,3,31,1,-1,2,3,2,2,2,1,20,-91,1,2,2,1,2,1,2,9,4,4,2,-91,12,1,1,4,3,5000
-999,1,1,-92,0,1,2,1,15,-98,-98,1,1,-98,0,5,2,1,-94,1,1,5,2,2,2,3,39,0,1,2,6,2,2,2,5,17,-91,2,2,2,2,2,1,2,3,4,1,2,-91,14,0,1,4,1,5500
-999,1,1,2,1,1,2,1,3,7,1,1,1,1,0,2,2,0,1,1,2,3,2,1,2,3,32,3,1,1,3,2,2,2,5,11,-91,1,1,2,2,2,2,2,9,4,4,2,-91,10,0,1,7,1,6000
-999,3,1,2,1,1,-92,1,7,2,1,3,5,1,0,2,2,0,4,1,1,4,2,2,1,3,45,5,2,4,3,2,2,2,5,15,-91,1,1,2,1,2,2,2,4,2,2,2,-91,17,7,1,4,1,6175
-999,1,1,2,1,1,2,1,-98,4,1,-98,-98,1,0,-98,2,1,1,1,3,2,1,1,1,3,39,6,2,3,2,1,1,2,5,16,-91,1,2,2,1,2,2,2,9,4,4,2,-91,11,11,1,4,1,8000
-999,1,1,2,1,1,6,1,15,-98,-98,1,1,-98,0,6,2,1,4,1,1,5,2,1,2,3,45,0,2,1,3,2,2,2,2,15,-91,1,1,2,1,2,2,1,9,4,4,2,-91,8,0,1,7,1,8100
-999,1,1,2,1,1,2,1,20,20,1,1,1,1,0,2,2,0,4,8,2,3,2,2,2,3,33,4,-1,2,5,2,2,2,5,15,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,13,1,1,7,1,9000
