"","W1GrssyrHH","W1wrk1aMP","W1condur5MP","W1hea2MP","W1NoldBroHS","W1InCarHH","W1hous12HH","W1usevcHH","W1hiqualmum","W1hiqualdad","W1wrkfulldad","W1wrkfullmum","W1empsmum","W1empsdad","IndSchool","W1marstatmum","W1depkids","W1famtyp2","W1nssecfam","W1ethgrpYP","W1heposs9YP","W1hwndayYP","W1truantYP","W1alceverYP","W1bulrc","W1disabYP","W1yschat1","W2ghq12scr","W2disc1YP","W2depressYP","W4AlcFreqYP","W4CannTryYP","W4NamesYP","W4RacismYP","W4empsYP","W4schatYP","W4Childck1YP","W5JobYP","W5EducYP","W5Apprent1YP","W6JobYP","W6UnivYP","W6EducYP","W6Apprent1YP","W6acqno","W6gcse","W6als","W6OwnchiDV","W6Childliv","W6DebtattYP","W8DGHQSC","W8DMARSTAT","W8TENURE","W8DACTIVITY","W8QDEB2"
"69",NA,1,1,2,0,1,2,1,15,"Missing","1",1,1,"1",0,3,2,0,4,1,1,3,1,1,1,3,33,0,2,1,"2",1,2,2,1,11,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",14,1,"1","2",1,1100
"74",NA,2,1,2,1,1,2,1,15,"9","1",2,2,"1",0,2,2,0,5,1,1,5,2,1,2,3,33,0,2,2,"3",1,2,1,5,15,"Missing",1,"2","2","2",1,"Missing","Missing",1,4,4,2,"Missing",12,0,"1","7",1,0
"75",NA,2,1,2,1,1,2,1,15,"4","1",2,2,"1",0,2,2,0,5,1,3,3,2,1,2,3,36,2,2,2,"4",2,2,2,5,15,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",12,0,"1","7",1,325
"76",NA,1,2,2,1,1,2,1,13,"13","2",1,1,"2",0,2,2,0,6,3,1,3,2,2,2,3,40,3,2,3,"5",2,1,2,5,15,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",11,0,"2","2",1,600
"77",NA,1,1,1,1,1,5,1,8,"4","1",1,1,"1",0,2,3,0,4,2,1,5,2,2,1,3,41,0,2,2,"3",2,2,2,5,16,"Missing",2,"1","2","1",2,"1","2",9,4,4,2,"Missing",13,1,"1","4",1,1200
"78",NA,1,1,1,2,1,2,1,16,"20","1",1,1,"1",0,2,4,0,7,3,2,5,2,1,2,2,27,0,2,1,"3",2,2,2,5,13,"Missing",1,"1","2","1",2,"2","2",6,2,4,2,"Missing",10,3,"1","5",1,2000
"80",NA,1,1,2,0,1,2,1,15,"20","2",1,1,"2",0,2,2,0,4,1,1,2,2,1,2,3,39,0,2,2,"2",2,2,2,5,13,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",8,2,"1","2",13,6500
"81",NA,2,1,2,3,1,2,1,2,"2","1",2,2,"1",0,2,4,0,2,1,1,3,2,2,2,2,36,1,2,2,"3",1,2,2,5,18,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",19,2,"1","7",1,11000
"82",NA,2,1,2,0,1,2,1,15,"15","1",2,2,"1",0,2,2,0,4,1,3,4,2,2,1,3,24,0,2,1,"3",1,2,2,5,5,"Missing",1,"1","2","2",2,"2","2",9,4,4,2,"Missing",10,0,"1","5",1,13000
"85",NA,1,1,2,1,1,2,1,13,"15","1",1,1,"1",0,2,2,0,7,1,1,3,2,1,1,3,37,0,2,1,"3",2,1,2,2,15,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",10,2,"1","2",1,150000
