"","W1GrssyrHH","W1wrk1aMP","W1condur5MP","W1hea2MP","W1NoldBroHS","W1InCarHH","W1hous12HH","W1usevcHH","W1hiqualmum","W1hiqualdad","W1wrkfulldad","W1wrkfullmum","W1empsmum","W1empsdad","IndSchool","W1marstatmum","W1depkids","W1famtyp2","W1nssecfam","W1ethgrpYP","W1heposs9YP","W1hwndayYP","W1truantYP","W1alceverYP","W1bulrc","W1disabYP","W1yschat1","W2ghq12scr","W2disc1YP","W2depressYP","W4AlcFreqYP","W4CannTryYP","W4NamesYP","W4RacismYP","W4empsYP","W4schatYP","W4Childck1YP","W5JobYP","W5EducYP","W5Apprent1YP","W6JobYP","W6UnivYP","W6EducYP","W6Apprent1YP","W6acqno","W6gcse","W6als","W6OwnchiDV","W6Childliv","W6DebtattYP","W8DGHQSC","W8DMARSTAT","W8TENURE","W8DACTIVITY","W8QDEB2"
"1331",57750.24,2,1,2,1,1,2,1,2,"2","1",2,2,"1",0,2,2,0,1,1,1,3,2,1,1,2,39,0,2,1,"2",2,2,2,5,16,"Missing",2,"1","2","2",2,"2","2",9,4,4,2,"Missing",14,2,"1","5",2,5000
"1332",10096.8,2,1,1,1,1,1,1,1,"1","1",2,2,"1",0,2,2,0,2,1,1,3,2,1,2,3,40,0,2,2,"2",1,2,2,5,16,"Missing",2,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",18,3,"1","4",1,300
"1333",45785.6,2,2,2,1,1,2,1,15,"2","1",2,2,"1",0,2,2,0,2,1,1,1,2,2,2,3,38,6,2,4,"3",1,2,2,5,15,"Missing",1,"1","2","1",2,"1","2",4,4,2,2,"Missing",12,0,"1","2",1,3300
"1335",23806.4,2,1,2,1,1,2,1,5,"19","1",2,2,"1",0,2,3,0,4,1,2,2,2,1,2,3,32,0,2,1,"2",1,2,2,4,15,"Missing",2,"1","1","1",2,"1","1",9,4,4,2,"Missing",13,0,"2","2",1,25000
"1336",38816.8,2,1,2,0,1,2,1,16,"17","1",2,2,"1",0,2,1,0,2,1,2,3,2,2,2,3,35,0,2,2,"3",2,2,2,5,17,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",14,0,"1","7",1,2000
"1338",17450.16,10,1,1,3,1,1,1,15,"9","1",3,6,"1",0,2,4,0,5,1,1,3,2,1,2,3,43,0,2,2,"3",2,2,2,5,15,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",16,0,"2","2",1,10000
"1339",NA,2,2,2,2,1,1,1,15,"Missing","1",2,2,"1",0,3,4,0,7,1,1,3,2,1,2,3,27,0,2,2,"4",1,2,2,2,16,"Missing",2,"1","2","2",2,"2","2",9,4,4,2,"Missing",9,3,"1","4",1,300
"1340",NA,2,1,2,0,1,2,1,20,"Missing","1",2,2,"1",0,2,1,0,6,3,2,5,2,1,1,3,26,11,2,4,"4",2,2,1,5,11,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",17,8,"1","5",1,1000
"1341",3900,3,1,1,1,1,5,1,20,"20","1",3,6,"1",0,2,2,0,4,8,1,5,2,1,2,3,27,0,2,1,"2",2,2,2,5,14,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",10,3,"1","4",6,200
"1342",3900,1,1,2,1,1,1,2,20,"13","1",3,6,"1",0,2,3,0,5,4,4,3,2,2,2,3,30,1,2,1,"Missing",1,2,2,5,11,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",12,0,"2","5",1,1000
"1343",83900,2,1,2,2,1,2,1,5,"4","1",2,2,"1",0,2,3,0,4,1,2,3,2,1,2,3,27,4,1,3,"3",1,2,1,2,15,"Missing",1,"2","2","2",2,"2","2",9,4,4,2,"Missing",14,1,"2","4",1,35000
"1345",NA,2,1,1,2,1,1,1,15,"13","1",2,2,"1",0,2,3,0,4,1,3,3,2,2,2,3,42,0,1,1,"2",1,2,2,4,15,"Missing",1,"2","1","1",2,"1","1",9,4,4,2,"Missing",11,8,"1","7",1,1750
"1346",3935.36,2,1,2,3,1,6,1,16,"Missing","Missing",2,2,"Missing",0,4,3,1,7,1,1,3,2,1,1,3,28,0,2,1,"3",2,2,2,5,10,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",11,4,"1","4",1,6500
"1349",22906,2,1,2,1,1,4,2,20,"20","1",2,2,"1",0,3,2,0,6,1,3,3,2,1,2,3,41,2,2,3,"5",2,2,2,5,16,"Missing",2,"1","2","2",1,"Missing","Missing",9,4,4,2,"Missing",15,2,"1","3",2,5000
"1350",3978,2,1,2,0,1,1,1,16,"Missing","Missing",2,2,"Missing",0,6,2,1,6,1,2,3,2,1,1,3,35,7,2,4,"3",1,2,2,5,13,"Missing",1,"2","1","1",2,"2","2",9,4,4,2,"Missing",8,0,"4","5",1,3000
"1351",3993.6,2,1,2,0,1,2,2,15,"Missing","Missing",2,2,"Missing",0,5,1,1,2,1,3,2,2,1,1,3,44,2,2,2,"3",2,2,2,5,9,"Missing",1,"1","2","1",2,"1","2",3,4,1,2,"Missing",13,5,"1","4",4,200
"1352",65493.6,2,1,2,0,1,2,1,2,"1","1",2,2,"1",0,2,1,0,1,1,1,4,2,1,2,3,32,1,2,1,"3",1,2,2,5,16,"Missing",2,"1","2","1",2,"2","2",9,4,4,2,"Missing",8,1,"1","4",1,4530
"1355",21000,4,1,1,1,1,2,1,15,"16","1",2,2,"1",0,2,2,0,4,1,4,3,1,1,1,3,15,0,2,1,"2",1,1,2,5,5,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",7,1,"1","5",1,3000
"1356",24800,4,1,2,2,1,2,1,7,"4","1",2,2,"1",0,2,3,0,5,1,2,1,2,1,1,3,31,0,2,2,"3",2,2,2,5,11,"Missing",1,"1","2","1",2,"1","2",3,4,1,2,"Missing",14,2,"1","5",2,2500
"1358",48000,4,1,2,2,1,2,1,4,"2","1",2,2,"1",0,2,3,0,1,1,4,2,2,1,1,3,32,0,2,2,"3",2,1,2,2,15,"Missing",2,"2","2","1",2,"2","2",9,4,4,2,"Missing",12,9,"1","5",5,500
"1359",40004,2,1,2,2,1,4,1,6,"13","1",2,2,"1",0,3,4,0,2,1,1,2,2,2,2,3,37,0,2,2,"6",2,2,2,2,15,"Missing",1,"2","2","2",2,"2","2",9,4,4,1,"1",9,0,"1","4",2,1500
"1360",4017,2,1,2,1,1,5,1,15,"Missing","Missing",2,2,"Missing",0,1,2,1,2,6,1,2,2,1,1,3,42,3,2,3,"2",1,2,1,5,16,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",13,0,"1","5",2,250
"1361",20018.72,2,1,2,1,1,1,1,2,"2","1",2,2,"1",0,5,2,0,2,1,1,3,2,2,2,3,39,1,2,1,"4",1,2,2,5,16,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",17,0,"1","4",1,200
"1362",42424.8,2,1,2,1,1,2,1,15,"13","1",2,2,"1",0,2,2,0,2,1,2,4,2,2,1,3,39,5,2,3,"2",2,2,2,5,17,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",10,1,"1","4",3,1000
"1363",26126.88,2,1,2,1,1,2,1,15,"13","1",2,2,"1",0,2,2,0,4,1,2,3,2,1,1,3,37,5,2,3,"4",2,2,2,5,17,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",11,1,"2","2",1,6000
"1364",NA,2,1,2,0,1,2,1,6,"9","1",2,2,"1",0,2,2,0,5,1,1,5,2,2,1,3,28,10,2,4,"3",2,1,2,5,9,"Missing",2,"1","2","2",2,"2","2",9,4,4,2,"Missing",11,6,"1","7",1,2000
"1365",47056,2,1,2,2,1,2,1,15,"7","1",2,2,"1",0,2,3,0,1,1,2,4,2,1,2,3,34,0,2,2,"2",2,2,2,5,15,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",12,1,"1","4",1,2000
"1367",19676.8,2,1,2,0,1,2,1,15,"20","1",2,2,"1",0,2,1,0,3,3,2,5,2,2,2,3,43,0,2,1,"6",2,2,2,5,16,"Missing",2,"1","2","1",2,"1","2",3,4,1,2,"Missing",15,3,"1","2",1,195500
"1368",27076.8,2,1,2,0,1,2,1,15,"15","3",2,2,"3",0,2,1,0,6,1,2,3,2,1,1,3,41,0,2,2,"2",1,2,2,5,11,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",10,1,"1","7",1,4500
"1369",22822.8,2,1,2,1,1,2,1,15,"15","1",2,2,"1",0,2,2,0,7,1,4,3,2,1,1,3,20,1,2,2,"1",1,1,2,5,13,"Missing",2,"1","2","1",2,"2","2",9,4,4,2,"Missing",10,1,"1","7",1,0
"1370",32913.2,2,1,1,0,1,2,1,5,"2","1",2,2,"1",0,2,1,0,1,1,2,5,2,1,1,3,45,0,2,2,"3",1,2,2,5,16,"Missing",2,"2","2","2",1,"Missing","Missing",1,4,4,2,"Missing",13,1,"1","4",1,732
"1372",16783.52,2,1,2,1,1,4,1,15,"20","1",2,2,"1",0,2,3,0,7,1,2,3,2,1,1,2,43,1,1,1,"2",2,2,2,5,11,"Missing",1,"1","2","1",2,"1","2",4,4,2,2,"Missing",6,8,"1","4",1,2000
"1373",25760,2,1,2,1,1,1,1,15,"4","1",2,2,"1",0,2,2,0,1,1,2,2,2,1,1,3,31,6,2,3,"2",2,2,2,5,9,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",4,4,"1","3",1,1000
"1374",32160,2,1,2,0,1,2,1,16,"13","1",2,2,"1",0,2,2,0,5,1,3,3,2,1,2,3,37,0,2,2,"2",2,2,2,1,15,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",11,0,"1","4",1,1500
"1375",4168.32,2,1,2,1,1,5,1,16,"13","3",2,2,"8",0,1,2,0,6,1,2,1,1,2,2,3,27,0,2,1,"5",2,2,2,3,14,"Missing",1,"2","1","1",2,"1","1",9,4,4,2,"Missing",15,0,"1","7",2,300
"1377",4168.32,2,1,2,0,1,5,2,20,"Missing","Missing",2,2,"Missing",0,5,1,1,5,1,1,3,2,2,1,3,41,0,2,1,"3",2,2,2,5,16,"Missing",2,"1","1","2",2,"2","2",9,4,4,2,"Missing",13,0,"2","2",1,6000
"1378",4201.6,2,1,2,0,1,4,1,16,"Missing","Missing",2,2,"Missing",0,6,1,1,3,1,3,5,2,1,1,3,45,0,2,1,"4",2,2,2,5,18,"Missing",1,"1","2","1",2,"1","2",4,4,2,2,"Missing",14,1,"1","4",1,0
"1382",33332,2,1,2,1,1,2,1,15,"17","1",2,2,"1",0,2,3,0,5,1,2,0,2,2,2,3,29,0,2,2,"2",1,2,2,5,13,"Missing",1,"2","2","1",2,"1","2",6,2,4,2,"Missing",16,1,"1","4",1,200
"1383",23267.92,2,1,1,1,1,2,1,15,"15","1",2,2,"1",0,2,2,0,1,1,2,2,2,1,2,3,41,0,2,2,"2",2,2,2,5,13,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",17,6,"1","4",1,8000
"1384",NA,2,1,2,0,1,4,1,15,"15","1",2,2,"1",0,3,1,0,5,1,1,2,2,1,1,3,38,0,2,1,"2",2,1,2,5,15,"Missing",2,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",11,6,"1","7",1,21000
"1385",39290,2,1,2,0,1,2,1,15,"1","1",2,2,"1",0,2,2,0,1,1,2,5,2,1,2,3,42,2,2,1,"4",2,2,2,5,13,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",14,0,"1","4",3,30000
"1388",NA,2,1,2,1,1,2,1,15,"2","1",2,2,"1",0,2,2,0,1,1,1,2,2,1,1,3,32,0,2,1,"2",2,2,2,5,13,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",14,1,"1","4",1,2100
"1389",39368,2,1,2,0,1,1,1,15,"9","1",2,2,"1",0,2,1,0,5,1,1,2,2,1,1,3,42,0,2,1,"3",2,2,2,5,17,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",13,1,"1","4",1,9000
"1390",4409.6,2,1,2,2,1,6,1,7,"Missing","Missing",2,2,"Missing",0,5,2,1,7,1,3,3,1,1,1,3,28,0,2,1,"3",1,2,2,5,17,"Missing",2,"1","2","1",2,"2","2",9,4,4,2,"Missing",15,1,"1","4",1,1200
"1391",43420,3,1,2,1,1,2,1,15,"15","1",2,2,"1",0,2,2,0,3,1,2,3,2,1,1,3,31,2,1,1,"3",1,2,2,5,13,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",14,10,"1","4",1,1000
"1395",NA,2,1,2,1,1,2,1,16,"20","1",2,2,"1",0,2,2,0,6,1,1,5,2,2,1,3,36,2,2,1,"Missing",2,2,2,5,16,"Missing",1,"1","2","1",2,"1","1",9,4,4,2,"Missing",11,0,"1","7",1,2500
"1396",NA,2,1,2,1,1,2,1,20,"20","1",2,2,"1",0,2,2,0,4,1,4,2,2,1,2,2,27,0,2,1,"4",2,2,2,4,7,"Missing",1,"2","1","1",2,"2","2",9,4,4,2,"Missing",7,3,"1","2",3,20000
"1398",49474.08,2,1,1,0,1,2,1,2,"2","1",2,2,"1",1,2,2,0,2,1,1,5,2,1,2,3,41,0,1,1,"3",2,2,2,5,19,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",12,1,"1","4",1,12000
"1399",NA,2,1,2,1,1,2,1,5,"16","1",2,2,"1",0,2,3,0,3,1,3,1,2,2,1,3,33,0,2,2,"6",2,1,2,5,11,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",12,0,"1","2",1,3000
"1400",24064.8,2,1,2,1,1,2,1,4,"7","1",2,2,"1",0,2,2,0,2,1,1,4,2,2,2,3,42,1,2,1,"2",2,2,2,5,15,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",14,1,"1","2",1,12000
"1402",NA,2,1,2,3,1,2,1,7,"13","1",2,2,"1",0,2,4,0,6,1,3,4,2,2,2,3,43,0,2,1,"4",2,2,2,5,20,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",14,4,"2","2",1,18400
"1403",45528,2,1,2,0,1,2,1,19,"1","1",2,2,"1",0,2,2,0,1,1,2,1,2,1,1,3,35,4,2,3,"2",1,1,2,5,7,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",11,0,"2","2",2,15000
"1404",23064.6,2,1,1,0,1,2,1,7,"9","1",2,2,"1",0,2,4,0,5,1,2,1,2,2,2,3,36,0,2,2,"3",2,2,2,5,16,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",15,0,"1","4",1,2000
"1407",20300.8,2,2,2,1,1,2,1,15,"9","1",2,2,"1",0,2,2,0,2,1,3,1,2,2,2,3,37,0,2,2,"2",2,2,2,5,7,"Missing",1,"1","1","1",2,"2","1",9,4,4,2,"Missing",12,1,"2","2",1,8500
"1412",34628,2,1,2,2,1,2,1,15,"15","1",2,2,"1",0,2,3,0,4,2,4,1,2,2,2,3,23,1,2,2,"Missing",2,2,2,5,16,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",10,0,"1","7",1,80000
"1415",NA,2,1,1,1,1,2,1,16,"13","1",2,2,"1",0,2,3,0,6,1,2,5,2,1,1,3,39,1,2,2,"2",2,2,2,5,18,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",16,4,"1","4",1,1000
"1417",60659.2,2,1,2,2,1,2,1,15,"13","1",2,2,"1",0,2,4,0,4,1,3,3,2,1,1,1,24,0,2,2,"1",1,1,2,3,16,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",12,0,"1","2",3,115000
"1418",NA,2,1,2,2,1,4,1,20,"15","1",2,2,"1",0,2,3,0,6,1,2,3,2,2,2,3,35,0,2,1,"2",1,2,2,5,11,"Missing",1,"2","1","1",2,"1","1",9,4,4,2,"Missing",10,1,"1","4",13,60
"1419",NA,2,1,2,1,1,6,2,20,"20","1",2,2,"1",0,2,2,0,6,1,3,4,2,2,1,3,40,0,2,1,"Missing",2,2,2,5,15,"Missing",2,"1","2","1",2,"2","2",9,4,4,2,"Missing",10,0,"1","2",1,3000
"1425",19680,4,1,1,1,1,2,1,16,"4","1",2,2,"1",0,2,3,0,4,1,2,5,2,2,2,3,43,0,2,2,"4",2,2,2,5,17,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",14,5,"1","2",1,2500
"1428",29680,2,1,2,0,1,2,1,13,"13","1",2,2,"1",0,2,2,0,6,1,2,1,1,1,2,1,30,1,2,1,"4",2,2,2,1,11,"Missing",1,"1","2","2",2,"2","2",9,4,4,1,"1",14,0,"4","4",2,1200
"1430",64680,2,1,2,1,1,2,1,15,"13","1",2,2,"1",0,2,2,0,4,1,1,3,2,2,2,3,47,0,2,1,"5",2,2,2,5,19,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",9,0,"1","2",1,1500
"1433",NA,2,1,2,0,1,2,1,15,"13","1",2,2,"1",0,2,1,0,1,1,3,5,2,2,2,3,36,0,2,1,"3",2,2,2,5,7,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",12,0,"1","4",1,12600
"1434",NA,2,1,2,1,1,2,1,15,"20","2",2,2,"2",0,2,2,0,4,1,3,2,2,2,2,3,37,0,2,2,"2",2,2,2,5,11,"Missing",1,"2","1","1",2,"2","1",9,4,4,2,"Missing",14,0,"1","7",1,4000
"1435",29311.2,2,1,1,1,1,2,1,15,"4","1",2,2,"1",0,2,2,0,5,1,1,5,2,2,1,3,46,0,2,1,"4",2,1,2,5,12,"Missing",2,"1","2","1",2,"1","2",9,4,4,2,"Missing",13,3,"2","2",1,5000
"1436",43138.76,2,1,2,1,1,2,1,14,"2","1",2,2,"1",0,2,2,0,2,1,2,4,2,1,2,3,42,5,2,1,"3",2,2,2,5,19,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",16,2,"1","4",1,800
"1437",13665.6,2,1,2,0,1,4,1,16,"4","1",2,2,"1",0,2,1,0,7,1,2,3,2,2,2,2,34,1,2,1,"4",2,2,2,5,15,"Missing",1,"2","1","2",2,"2","2",9,4,4,2,"Missing",10,0,"1","5",1,8000
"1438",NA,2,2,2,0,1,5,2,16,"Missing","1",2,2,"1",0,2,1,0,3,1,2,1,2,2,1,3,38,0,1,1,"2",1,2,2,3,15,"Missing",2,"2","2","2",2,"1","2",9,4,4,2,"Missing",9,0,"1","7",1,1000
"1439",NA,2,1,2,1,1,2,1,19,"20","1",2,2,"1",0,2,2,0,4,1,4,3,2,1,1,3,25,0,2,1,"3",1,2,2,1,13,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",8,1,"1","7",1,12000
"1440",4784,5,2,2,3,1,2,2,20,"20","3",3,6,"3",0,2,5,0,6,5,3,5,2,2,2,3,42,0,2,2,"Missing",1,2,2,5,15,"Missing",2,"2","2","2",2,"2","2",9,4,4,2,"Missing",16,0,"1","5",1,750
"1441",4784,2,1,2,0,1,6,1,15,"Missing","Missing",2,2,"Missing",0,5,1,1,6,1,4,5,1,1,2,3,34,0,2,2,"2",2,2,2,1,11,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",15,1,"1","2",1,7000
"1442",39752.96,2,1,2,1,1,4,1,20,"20","1",2,2,"1",0,3,2,0,6,1,2,1,1,1,2,3,28,0,2,1,"2",1,2,2,1,9,"Missing",1,"1","1","1",2,"2","1",9,4,4,2,"Missing",8,5,"1","4",1,2500
"1443",31735.6,2,1,2,5,1,2,1,6,"2","1",2,2,"1",0,2,6,0,1,1,1,5,2,2,2,3,37,0,2,1,"4",2,2,2,5,18,"Missing",1,"1","2","1",2,"1","2",3,4,1,2,"Missing",20,0,"1","7",1,2000
"1444",24800,2,1,2,0,1,2,1,15,"13","1",2,2,"1",0,2,2,0,1,1,1,3,2,1,2,3,40,3,2,4,"2",2,2,2,5,17,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",7,2,"3","2",1,7400
"1445",27836,2,1,2,1,1,1,1,16,"16","1",2,2,"1",0,2,2,0,3,1,2,5,2,1,2,3,36,3,2,4,"2",1,1,2,5,11,"Missing",1,"2","2","2",1,"Missing","Missing",1,4,4,2,"Missing",14,2,"1","4",1,5000
"1446",30810,2,1,2,1,1,2,1,15,"5","1",2,2,"1",0,2,2,0,5,1,2,3,2,1,2,3,36,0,1,1,"2",1,2,2,5,19,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",14,0,"1","2",1,10000
"1449",29883.84,2,1,2,2,1,4,1,8,"9","1",2,2,"1",0,2,3,0,6,1,1,2,2,2,1,2,30,3,2,3,"Missing",1,2,2,5,9,"Missing",1,"2","1","1",2,"2","1",9,4,4,2,"Missing",13,11,"1","4",1,3000
"1451",NA,2,1,2,0,1,2,1,16,"19","1",2,2,"1",0,2,2,0,2,1,3,2,2,1,1,3,35,1,2,1,"2",1,2,2,2,15,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",12,0,"1","5",1,4700
"1452",18569.2,2,1,2,0,1,2,1,8,"13","1",2,2,"1",0,2,1,0,5,1,2,2,2,1,1,3,32,0,2,2,"5",2,2,2,5,19,"Missing",2,"2","2","2",1,"Missing","Missing",1,4,4,2,"Missing",15,0,"1","5",6,38000
"1453",NA,5,2,2,2,1,4,2,9,"Missing","3",3,3,"3",0,4,4,0,6,1,2,2,2,2,1,3,40,0,2,1,"5",2,1,1,3,5,"Missing",1,"1","2","1",2,"2","2",9,4,4,2,"Missing",10,0,"1","4",5,1000
"1455",23166,2,1,2,0,1,2,2,15,"14","1",2,2,"1",0,3,2,0,5,1,3,3,2,1,2,3,35,5,2,3,"2",2,2,2,5,15,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",13,4,"1","2",1,8000
"1456",40926,2,1,2,0,1,2,1,16,"14","1",2,2,"1",0,2,1,0,2,1,2,5,2,1,1,3,37,0,2,1,"3",2,2,2,2,13,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",11,0,"1","4",1,150
"1457",4932.72,2,1,2,2,1,5,2,16,"Missing","Missing",2,2,"Missing",0,5,3,1,7,1,2,3,2,2,1,3,44,2,2,1,"5",2,2,2,1,15,"Missing",1,"2","2","1",2,"2","1",9,4,4,2,"Missing",9,12,"1","4",1,13000
"1458",27940,2,2,2,0,1,2,1,20,"14","1",2,2,"1",0,2,1,0,4,1,2,4,2,1,1,3,40,0,2,2,"4",1,2,2,2,8,"Missing",1,"2","2","2",2,"2","2",9,4,4,2,"Missing",10,4,"1","7",5,6000
"1460",4992,2,1,2,1,1,4,1,12,"Missing","Missing",2,2,"Missing",0,1,2,1,6,1,2,2,2,1,2,3,36,0,2,1,"3",2,2,2,5,15,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",7,0,"1","1",1,12000
"1461",NA,2,1,2,1,1,2,1,7,"13","1",2,2,"1",0,2,2,0,4,1,2,5,1,1,1,3,41,2,2,3,"4",2,2,2,5,16,"Missing",2,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",8,2,"1","7",5,21000
"1463",5000,3,1,2,0,1,2,1,4,"Missing","Missing",1,1,"Missing",0,5,2,1,4,1,1,5,2,1,1,3,30,5,2,4,"2",1,1,1,5,14,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",15,2,"1","2",1,500
"1467",85000,2,1,2,0,1,2,1,19,"15","1",2,2,"1",0,2,2,0,1,1,2,2,1,1,1,3,32,NA,2,4,"2",1,2,2,5,17,"Missing",1,"1","2","1",2,"1","2",1,4,4,2,"Missing",14,2,"1","4",1,1000
"1468",5000.32,2,1,2,0,1,2,1,13,"Missing","Missing",2,2,"Missing",0,5,1,1,5,1,1,4,2,2,2,3,40,3,2,3,"3",2,2,2,5,16,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",14,0,"1","4",3,0
"1471",5045.04,2,1,2,0,1,2,1,4,"Missing","Missing",2,2,"Missing",0,4,2,1,6,1,3,3,2,2,1,2,23,8,2,4,"4",2,2,2,5,12,"Missing",2,"1","2","2",2,"1","2",4,4,2,2,"Missing",14,7,"1","5",1,200
"1473",27175.2,2,1,2,1,1,2,1,15,"7","1",2,2,"1",1,3,4,0,2,1,1,5,2,1,1,3,38,2,2,1,"3",2,2,2,5,16,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",12,3,"3","4",13,18000
"1474",27560,2,1,1,1,1,2,1,15,"8","1",2,2,"1",0,2,2,0,6,1,2,2,2,1,2,3,41,0,2,2,"6",2,2,2,5,16,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",12,0,"1","2",1,20000
"1476",NA,2,1,2,1,1,2,1,20,"13","1",2,2,"1",0,2,3,0,4,1,2,2,2,2,1,3,35,1,2,1,"3",1,2,2,5,13,"Missing",1,"1","2","2",2,"2","2",9,4,4,2,"Missing",10,0,"1","4",1,3500
"1477",29137.6,2,1,2,1,1,2,1,8,"13","1",2,2,"1",0,2,2,0,4,1,1,4,2,1,1,3,40,0,2,1,"3",2,2,2,5,16,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",17,0,"1","2",1,30000
"1480",5158.4,2,1,2,0,1,2,1,15,"20","3",2,2,"8",0,2,2,0,6,1,2,4,2,1,1,3,35,0,2,1,"3",2,2,2,5,14,"Missing",1,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",14,1,"2","2",1,0
"1482",5176.08,2,1,2,0,1,6,1,4,"Missing","Missing",2,2,"Missing",0,6,1,1,2,4,2,5,2,2,1,3,35,0,1,1,"Missing",2,2,1,5,16,"Missing",2,"1","2","1",1,"Missing","Missing",1,4,4,2,"Missing",12,0,"1","4",1,7000
"1483",NA,2,1,2,0,1,1,1,6,"Missing","1",2,2,"1",0,2,1,0,6,1,4,0,1,2,1,1,45,NA,2,2,"3",2,1,2,5,17,"Missing",1,"1","2","1",2,"1","2",9,4,4,2,"Missing",10,3,"1","4",5,150
"1484",NA,2,1,2,1,1,2,1,9,"Missing","1",2,2,"1",0,2,2,0,6,1,3,1,2,2,1,3,22,2,2,1,"3",2,2,2,4,9,"Missing",1,"2","1","1",2,"2","1",9,4,4,2,"Missing",14,0,"1","7",1,800
"1485",5200,2,1,2,0,1,2,1,15,"4","3",2,2,"3",0,2,2,0,6,1,1,3,2,1,2,3,36,7,2,4,"4",2,2,2,5,14,"Missing",1,"1","2","2",1,"Missing","Missing",1,4,4,2,"Missing",13,0,"1","2",1,4000
"1486",40000,2,1,2,1,1,2,1,13,"2","1",2,2,"1",0,2,2,0,2,1,2,3,2,1,2,2,41,0,2,2,"3",2,1,2,4,7,"Missing",1,"2","2","1",2,"2","2",9,4,4,2,"Missing",8,0,"1","7",1,50
"1487",34004.16,2,1,2,0,1,2,1,15,"4","1",2,2,"1",0,2,2,0,5,1,3,1,2,2,2,3,31,NA,2,2,"2",2,1,2,5,14,"Missing",2,"1","2","2",2,"2","2",9,4,4,2,"Missing",6,0,"1","5",1,7500
"1489",26962,2,1,2,0,1,2,1,9,"13","1",2,2,"1",0,2,1,0,5,1,1,1,2,1,1,3,39,5,2,4,"3",1,2,2,5,14,"Missing",2,"1","2","2",2,"1","2",2,4,4,2,"Missing",15,0,"1","4",1,3000
"1493",25593.88,2,1,2,1,1,2,1,16,"13","1",2,2,"1",0,3,2,0,5,1,2,3,1,1,1,3,38,2,2,4,"2",1,2,2,5,14,"Missing",2,"2","2","2",2,"2","2",9,4,4,2,"Missing",10,3,"1","4",1,1456
