W1GrssyrMP,W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6Childliv,W6DebtattYP,W6NEETAct,W8DDEGP,W8DGHQSC,W8DMARSTAT,W8TENURE,W8DACTIVITY,W8QMAFI,W8DINCW
54624,134624,1,1,2,0,1,1,1,2,1,1,1,1,1,0,0,1,1,1,2,2,0,1,1,1,5,2,1,2,3,33,8,2,3,3,1,1,2,5,15,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,14,-91,1,0,1,4,4,2,398.12
54618.2,54618.2,1,1,1,0,1,2,1,2,-98,-98,1,1,-98,0,0,1,0,0,1,1,1,1,2,1,4,2,1,1,2,38,1,2,2,2,1,2,1,5,16,-91,1,2,2,1,2,2,2,9,4,4,2,-91,15,-91,-1,9,1,5,5,4,195.11
54600,54600,1,1,2,0,1,3,1,1,19,3,1,1,6,0,0,1,0,1,2,1,0,1,1,1,4,2,1,1,3,45,0,2,2,2,1,2,2,5,12,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,13,-91,0,4,1,5,1,2,415.17
54000,104000,1,1,2,1,1,2,1,7,4,1,1,1,1,0,1,1,0,0,2,2,0,1,1,2,4,2,2,2,3,35,0,2,2,2,2,2,2,5,15,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,16,-91,-1,0,1,2,1,1,378.88
54000,54000,1,1,2,0,1,2,1,20,4,1,3,6,1,0,0,1,1,0,2,2,0,6,1,1,5,2,2,2,1,40,4,2,2,2,1,1,2,5,14,-91,1,2,1,1,1,-91,-91,9,4,4,2,-91,13,-91,0,5,1,5,1,2,266.12
53000,77075.48,1,1,2,2,1,2,1,2,1,1,1,1,1,0,1,2,0,0,5,3,0,1,1,1,1,2,2,2,3,41,-92,2,-92,2,2,1,2,5,16,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,12,-91,1,1,1,4,1,2,333.2
52692,-999,1,1,1,0,1,2,1,5,2,1,1,1,1,0,0,1,0,1,2,1,0,2,1,2,2,1,1,1,2,21,3,2,3,2,2,1,2,5,9,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,12,-91,1,7,1,3,6,2,328.77
52000,104000,3,1,2,1,1,1,1,2,8,1,1,1,1,0,0,2,2,0,2,4,0,4,1,2,3,2,2,2,3,44,0,2,1,6,2,2,2,5,16,-91,2,1,2,1,2,1,1,9,4,4,2,-91,10,-91,-1,0,1,7,1,2,368.68
52000,110500,1,1,2,1,1,2,1,2,1,1,1,1,1,0,1,1,0,0,2,2,0,1,1,1,3,2,1,1,3,41,0,2,1,2,2,2,2,5,20,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,12,-91,1,0,1,2,1,1,366.69
52000,65478.4,1,1,2,1,1,2,1,15,8,1,2,2,1,0,1,1,0,0,2,2,0,1,1,1,5,2,1,1,3,43,0,2,1,3,2,1,2,5,16,-91,1,1,2,2,1,-91,-91,1,4,4,2,-91,19,-91,1,0,1,4,1,1,347.1
52000,-92,1,1,2,2,1,2,1,2,2,1,1,1,1,0,2,1,1,0,2,4,0,2,1,1,5,2,2,1,3,43,1,2,2,2,1,2,2,5,15,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,20,-91,1,4,1,4,1,2,391.21
51672,71268,1,1,1,1,1,2,1,5,16,1,1,1,1,0,1,1,0,0,3,2,0,3,1,2,1,2,1,1,3,25,3,2,3,2,1,2,2,1,16,-91,1,2,2,1,2,2,2,9,4,4,2,-91,14,-91,0,2,2,2,1,2,337.85
50400,-99,1,1,1,-99,1,2,1,-99,7,1,3,6,1,0,2,1,1,0,2,4,0,2,1,1,5,2,2,2,-99,35,0,2,1,-91,2,2,2,5,16,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,11,-91,-1,4,1,7,1,1,424.26
50400,50400,1,1,1,1,1,2,1,6,9,1,3,8,1,0,1,1,0,0,2,2,0,2,1,3,1,2,1,2,3,34,1,2,3,2,1,2,1,2,15,-91,-92,2,2,2,2,2,2,9,4,4,2,-91,10,-91,-1,1,1,7,2,3,256.79
50400,50400,1,1,2,1,1,1,1,2,-98,-98,1,1,-98,0,1,1,0,0,1,2,1,1,1,2,4,2,2,1,3,33,1,2,2,3,2,1,2,5,13,-91,1,2,1,1,2,2,2,9,4,4,2,-91,12,-91,-1,2,1,4,2,3,273.89
50400,86400,1,1,2,1,1,2,1,1,2,1,1,1,1,0,1,1,2,0,2,4,0,1,1,1,5,2,1,1,3,39,0,2,2,3,2,1,2,5,17,-91,1,1,2,1,2,2,2,9,4,4,2,-91,14,-91,1,2,1,2,1,1,385.87
